Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.03     0.00     4956     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >::reverse_iterator(std::reverse_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&)
  0.00      0.03     0.00     4954     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      0.03     0.00     4940     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >::reverse_iterator(std::reverse_iterator<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > > const&)
  0.00      0.03     0.00     3347     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator--()
  0.00      0.03     0.00     3277     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator--()
  0.00      0.03     0.00     3029     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >::base() const
  0.00      0.03     0.00     3029     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >::base() const
  0.00      0.03     0.00     2864     0.00     0.00  boost::math::tools::polynomial<double>::operator[](unsigned long)
  0.00      0.03     0.00     2864     0.00     0.00  boost::math::tools::polynomial<float>::operator[](unsigned long)
  0.00      0.03     0.00     2720     0.00     0.00  std::complex<double> Muller<double>::EvaluateComplex<double>(boost::math::tools::polynomial<double>*, std::complex<double>)
  0.00      0.03     0.00     2535     0.00     0.00  std::complex<float> Muller<float>::EvaluateComplex<float>(boost::math::tools::polynomial<float>*, std::complex<float>)
  0.00      0.03     0.00     2293     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00      0.03     0.00     2206     0.00     0.00  std::vector<double, std::allocator<double> >::end()
